BRD-K19290969-001-07-5	10-Methyl-10H-phenothiazin-3-ylamine
BRD-K37393297-001-07-8	1-(3,4-Dihydroxy-phenyl)-2-(4,6-dimethyl-pyrimidin-2-ylsulfanyl)-ethanone
BRD-A98248982-034-06-5	1-(3,4-dimethoxybenzyl)-N-[2-(3,4-dimethoxyphenyl)ethyl]-N-methylpiperidine-3-carboxamide
BRD-K59962020-001-10-1	1-(3, 5-di-tert-butyl-4-hydroxyphenyl)-2-(2-(3-hydroxypropylamino)-5,6-dimethyl-1H-benzo[d]imidazol-1-yl)ethanone SP-5-111
BRD-A72069525-001-05-0	1-(3-fluoro-4,5-dimethoxyphenyl)-2-(isopropylamino)ethanol KLK-10
BRD-A21481508-001-06-8	1-(3-hydroxy-4-methoxybenzyl)-1,2,3,4,8,8a-hexahydroisoquinolin-6(7H)-one KCR-6
BRD-K45443730-001-07-6	1-(3-methylphenyl)-5-(piperidin-1-ylcarbonyl)-1H-benzimidazole
BRD-K56977905-001-05-2	1-(4-(3-hydroxy-2-methoxyphenyl)-4-(3-hydroxy-4-methoxyphenyl)piperidin-1-yl)ethanone WG-10
BRD-K57016430-001-05-2	1-[4-(4-bromophenyl)-1,3-thiazol-2-yl]-4-piperidinecarboxamide
BRD-A25170757-001-05-3	1-(4,5-bis(benzyloxy)-2-fluorophenyl)-2-(methylamino)ethanol KLK-33
BRD-K65283978-001-01-5	1-(4-(5-(furan-2-yl)-2-(3-methoxyphenyl)pyrazolo[1,5-a]pyrimidin-7-yl)piperazin-1-yl)ethanone KUC106907N
BRD-K08325710-001-01-7	1-(4-(5-(furan-2-yl)-2-phenylpyrazolo[1,5-a]pyrimidin-7-yl)piperazin-1-yl)ethanone KUC105786N
BRD-K53566850-001-07-7	1-(4-chlorobenzyl)-4-[4-(2-methylphenyl)-1-piperazinyl]-1H-pyrazolo[3,4-d]pyrimidine
BRD-K22215695-001-08-6	1-(4-methylbenzyl)-4-[4-(2-methylphenyl)-1-piperazinyl]-1H-pyrazolo[3,4-d]pyrimidine
BRD-K59840856-001-04-1	173374-91-9 MLS-0425615
BRD-K93331292-001-04-1	193696-93-8 MLS-0425617
BRD-K12393722-001-08-0	1-benzhydryl-4-[(5-methyl-4-nitroisoxazol-3-yl)carbonyl]piperazine BRD-K12393722
NGP-003-05_C06	1-benzylimidazole
BRD-K67484673-001-05-6	1H-Indazole-3-carboxylic acid, 1-[(4-chlorophenyl)methyl]-;50264-86-3 BRD-K67484673
BRD-K03857568-001-14-0	1-Methyl-3-nitro-4-p-tolylsulfanyl-1H-quinolin-2-one BRD-K03857568
BRD-A74983348-001-05-5	(1S)-1-hydroxy-1,10a,12a-trimethyl-8-oxo-1,2,3,4,4a,4b,5,6,8,9,10,10a,10b,11,12,12a-hexadecahydrochrysen-2-yl acetate HZ-8
BRD-K78278890-001-07-2	1-tert-butyl-3-(naphthalen-1-ylmethyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine CAL-NCGC-023
BRD-K91184774-001-05-0	1-tert-butyl-6-methyl-3-(naphthalen-1-ylmethyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine CALI-088-1
BRD-K89306950-001-08-3	1-(Toluene-4-sulfonyl)-1H-benzoimidazol-2-ylamine MLS-0350096
BRD-K05326558-001-07-0	2-(1,3-Dimethyl-2,6-dioxo-7-propyl-2,3,6,7-tetrahydro-1H-purin-8-ylsulfanyl)-N-(4,5,6,7-tetrahydro-benzothiazol-2-yl)-acetamide
BRD-K60228169-001-06-3	2-{[1-(3-fluorobenzyl)-1H-indol-3-yl]sulfonyl}-N-(5-methylisoxazol-3-yl)acetamide VU0165202
BRD-K03339442-001-01-8	2-(1-methoxy-2-(naphthalen-1-yl)ethylidene)malononitrile CAL-NCGC-036
BRD-K92742972-001-06-2	2-({[2-(4-ethoxyphenyl)-5-methyl-1,3-oxazol-4-yl]methyl}thio)-N-(2-furylmethyl)acetamide MLS-0052895.0001
BRD-K70918941-001-05-4	2-{2-[5-(2-hydroxyphenyl)-1,2,4-oxadiazol-3-yl]vinyl}phenol MLS-0273093.0003
BRD-K37413063-001-05-0	2-(2,5-dimethoxyphenylcarbamoyl)phenyl acetate GNFk-1
BRD-K36817836-001-05-9	2-[2-(6,7-Dimethoxy-3,4-dihydro-1H-isoquinolin-2-yl)-2-oxo-ethylsulfanyl]-6-ethyl-5-methyl-nicotinonitrile
BRD-K20492338-001-01-1	2-(2-amino-1H-benzo[d]imidazol-1-yl)-N-benzylquinazolin-4-amine KUC108873N
BRD-K15206810-001-01-9	2-(2-amino-5,6-dichloro-1H-benzo[d]imidazol-1-yl)-N-benzyl-8-methoxyquinazolin-4-amine KUC108865N
BRD-K00366212-001-01-2	2-(2H-benzo[b][1,4]oxazin-4(3H)-yl)-N-benzyl-8-methoxyquinazolin-4-amine KUC106573N
BRD-K05002121-001-01-8	2-(2H-benzo[b][1,4]oxazin-4(3H)-yl)-N-benzylpyrimidin-4-amine KUC108582N
BRD-K93229693-001-03-4	2-(2-methoxyphenyl)-N-{4-[5-(3-methoxyphenyl)-1,2,4-oxadiazol-3-yl]phenyl}acetamide
BRD-K61993165-001-07-3	2-[(2-phenylethyl)thio]nicotinic acid
BRD-K33182644-001-05-3	2-[(3-methylphenyl)amino]-5H-[1,3,4]thiadiazolo[2,3-b]quinazolin-5-one NCGC00071218-02
BRD-K49814456-001-09-2	2-{3-nitroanilino}-N'-({5-nitro-2-furyl}methylene)acetohydrazide BRD-K73819439
BRD-K70415218-001-05-7	2-(4-(2-butoxy-5-chlorophenylamino)-6-(pyrrolidin-1-yl)-1,3,5-triazin-2-ylamino)ethanol wh-gc-round5-67
BRD-K35920785-001-05-3	2-(4-(2-chlorophenylamino)-6-(pyrrolidin-1-yl)-1,3,5-triazin-2-ylamino)ethanol wh-gc-round5-01
BRD-K01602319-001-05-2	2-(4-(2-hydroxyethylamino)-6-(pyrrolidin-1-yl)-1,3,5-triazin-2-ylamino)benzamide wh-gc-round5-28
BRD-K45355657-001-05-5	2-(4-(2-hydroxyethylamino)-6-(pyrrolidin-1-yl)-1,3,5-triazin-2-ylamino)phenol wh-gc-round5-55
BRD-K12540328-001-05-0	2-(4-(2-methoxyphenylamino)-6-(pyrrolidin-1-yl)-1,3,5-triazin-2-ylamino)ethanol wh-gc-round5-53
BRD-K55966666-001-05-5	2-(4-(2-phenoxyphenylamino)-6-(pyrrolidin-1-yl)-1,3,5-triazin-2-ylamino)ethanol wh-gc-round5-56
BRD-K91691979-001-06-5	2-(4-(2-tert-butoxyphenylamino)-6-(pyrrolidin-1-yl)-1,3,5-triazin-2-ylamino)ethanol wh-gc-round5-59
BRD-K13604076-001-05-7	2-(4-(3-methoxyphenylamino)-6-(pyrrolidin-1-yl)-1,3,5-triazin-2-ylamino)ethanol wh-gc-round5-16
BRD-K74029109-001-05-4	2-(4-(4-chlorophenylamino)-6-(pyrrolidin-1-yl)-1,3,5-triazin-2-ylamino)ethanol wh-gc-round5-17
BRD-K19117583-001-05-0	2-(4-(4-methoxyphenylamino)-6-(pyrrolidin-1-yl)-1,3,5-triazin-2-ylamino)ethanol wh-gc-round5-15
BRD-K37021324-001-05-6	2-(4-(5-chloro-2-(cyclopentyloxy)phenylamino)-6-(pyrrolidin-1-yl)-1,3,5-triazin-2-ylamino)ethanol wh-gc-round5-70
BRD-K53653395-001-05-9	2-(4-(5-chloro-2-ethoxyphenylamino)-6-(pyrrolidin-1-yl)-1,3,5-triazin-2-ylamino)ethanol wh-gc-round5-65
BRD-K58519325-001-06-0	2-(4-(5-chloro-2-isopropoxyphenylamino)-6-(pyrrolidin-1-yl)-1,3,5-triazin-2-ylamino)ethanol wh-gc-round5-68
BRD-K41284916-001-05-8	2-(4-(5-chloro-2-methoxyphenylamino)-6-(piperidin-1-yl)-1,3,5-triazin-2-ylamino)ethanol wh-gc-round5-32
BRD-K91264756-001-05-2	2-(4-(5-chloro-2-propoxyphenylamino)-6-(pyrrolidin-1-yl)-1,3,5-triazin-2-ylamino)ethanol wh-gc-round5-66
BRD-K76425766-001-05-6	2-[(4-chlorobenzyl)thio]-3,5,6,7-tetrahydro-4H-cyclopenta[d]pyrimidin-4-one
BRD-K86693415-001-07-8	2-(4-Chloro-phenyl)-4-isopropoxy-quinazoline
BRD-K98079119-001-01-8	2,4-difluoro-N-{4-[2,2,2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]phenyl}benzamide
BRD-K03704870-001-06-3	2-(4-ethylphenoxy)-N-4H-1,2,4-triazol-3-ylacetamide MLS-0265844.0001
BRD-K25150581-001-05-5	2-(4-fluorophenyl)-6-methoxybenzo[d]thiazole Gsuz-3
BRD-A19928752-001-07-3	2-[(4-methylphenyl)thio]-N-4H-1,2,4-triazol-3-ylpropanamide
BRD-K67941506-001-05-8	2-(4-(pyrrolidin-1-yl)-6-(2-(trifluoromethoxy)phenylamino)-1,3,5-triazin-2-ylamino)ethanol wh-gc-round5-63
BRD-K66438357-001-05-6	2-(4-(pyrrolidin-1-yl)-6-(2-(trifluoromethyl)phenylamino)-1,3,5-triazin-2-ylamino)ethanol wh-gc-round5-12
BRD-K89383912-001-05-5	2-(4-(pyrrolidin-1-yl)-6-(m-tolylamino)-1,3,5-triazin-2-ylamino)ethanol wh-gc-round5-19
BRD-K35389996-001-05-6	2-(4-(pyrrolidin-1-yl)-6-(p-tolylamino)-1,3,5-triazin-2-ylamino)ethanol wh-gc-round5-04
BRD-K71489689-001-01-0	2-(4-(tert-butyl)benzamido)-4,5-dichlorobenzoic acid KUC107686N
BRD-K40955748-001-01-7	2-(4-(tert-butyl)benzamido)-4-chloro-5-fluorobenzoic acid KUC107739N
BRD-K02641134-001-01-1	2-(4-(tert-butyl)benzamido)-4-chlorobenzoic acid KUC105998N
BRD-A89352139-001-07-5	2-(5-Phenyl-2H-[1,2,4]triazol-3-yl)-3a,4,7,7a-tetrahydro-isoindole-1,3-dione
BRD-K88198340-001-05-0	2-(6,6-dimethoxy-3-oxocyclohexa-1,4-dienylcarbamoyl)phenyl acetate GNFk-3
BRD-K23980805-001-05-7	2-{[(6-bromo-3H-imidazo[4,5-b]pyridin-2-yl)thio]methyl}benzonitrile
BRD-K67619794-001-01-0	2,6-difluoro-N-{4-[2,2,2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]phenyl}benzamide
BRD-A24225650-001-05-4	2-(benzoyloxymethyl)-5-(5-isopropyl-2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl)tetrahydrofuran-3,4-diyl dibenzoate PrU-1
BRD-A71657825-001-05-0	2-(Biphenyl-4-sulfonylamino)-pentanedioic acid
BRD-K59036917-001-12-6	2-bromo-N-[3-(butyrylamino)phenyl]benzamide
BRD-K75903201-001-11-4	2-bromo-N-[3-(pentanoylamino)phenyl]benzamide
BRD-K38012662-001-11-2	2-bromo-N-[3-(propionylamino)phenyl]benzamide
BRD-K03552198-001-05-3	2-(butylthio)-3,5,6,7-tetrahydro-4H-cyclopenta[d]pyrimidin-4-one
NGP-003-05_F07	2-chloro-2'-deoxyadenosine
BRD-K40378749-001-01-1	2-chloro-4-fluoro-N-{4-[2,2,2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]phenyl}benzamide
BRD-K63178889-001-01-7	2-Chloro-7-methoxyphenothiazine
BRD-A76490030-001-09-4	2-[(chloroacetyl)(3,4-dimethylphenyl)amino]-N-cyclohexyl-2-pyridin-3-ylacetamide
BRD-A36275421-001-18-6	2-[(chloroacetyl)(3-chloro-4-methoxyphenyl)amino]-N-(2-phenylethyl)-2-thien-2-ylacetamide
BRD-A18411371-001-10-6	2-[(chloroacetyl)(3-chlorophenyl)amino]-N-cyclohexyl-2-(4-methoxyphenyl)acetamide
BRD-A68065211-001-08-7	2-[(chloroacetyl)(3-chlorophenyl)amino]-N-cyclohexyl-2-pyridin-3-ylacetamide
BRD-A39093044-001-09-6	2-[(chloroacetyl)(3-methoxyphenyl)amino]-N-(2-phenylethyl)-2-thien-2-ylacetamide
BRD-A18725729-001-08-2	2-[(chloroacetyl)(4-chlorophenyl)amino]-N-cyclohexyl-2-(4-methoxyphenyl)acetamide
BRD-A37735495-001-10-6	2-[(chloroacetyl)(4-fluorophenyl)amino]-N-cyclohexyl-2-pyridin-3-ylacetamide
BRD-A72180425-001-10-6	2-[(chloroacetyl)(4-methoxyphenyl)amino]-N-(2-phenylethyl)-2-thien-2-ylacetamide
BRD-A58924247-001-08-5	2-[(chloroacetyl)(4-methoxyphenyl)amino]-N-cyclohexyl-2-pyridin-3-ylacetamide
BRD-K40087974-001-10-5	2-chloro-N-{3-cyano-4-[(4-methoxyphenyl)sulfanyl]phenyl}benzenecarboxamide
BRD-K19499941-001-09-1	2-Chloro-N-heptyl-N-m-tolyl-acetamide
BRD-K53932786-001-08-8	2-Dichloromethyl-4-ethylsulfanyl-6-phenyl-[1,3,5]triazine MLS-0208612.0001
BRD-A05565054-001-01-7	(2-ethylpiperidin-1-yl)(4-(hydroxydiphenylmethyl)-1H-1,2,3-triazol-1-yl)methanone
BRD-K11260407-001-05-0	2-fluoro-N-(1-hydroxy-2-methylpropan-2-yl)-4,5-dimethoxybenzamide KLK-43
BRD-K19059335-001-06-3	2H-1,4-Benzodiazepin-2-one, 7-chloro-1,3-dihydro-5-pyrrol-2-yl- NCGC00185960-02
NGP-003-05_B09	2h-indol-2-one, 1,3-dihydro-1-phenyl-3,3-bis(4-pyridinylmethyl)- [cas]
BRD-A98200599-001-05-2	2-hydroxy-2-phenyl-2H-benzo[e][1,3]oxazin-4(3H)-one MSC-2
BRD-A47714657-001-03-8	2-methoxy-5-((6-methoxy-1,2,3,4-tetrahydroisoquinolin-1-yl)methyl)phenol KCR-2
BRD-K79222491-001-01-5	2-morpholino-9-(thiophen-3-yl)-N-((5-(trifluoromethyl)-1H-benzo[d]imidazol-2-yl)methyl)-9H-purin-6-amine
BRD-K77681376-001-01-4	2-morpholino-N-((4-nitro-1H-benzo[d]imidazol-2-yl)methyl)-9-(thiophen-3-yl)-9H-purin-6-amine
BRD-K01896723-001-01-9	2-morpholino-N-((5-nitro-1H-benzo[d]imidazol-2-yl)methyl)-9-(thiophen-3-yl)-9H-purin-6-amine
BRD-K68102868-001-05-8	2-(phenylcarbamoyl)phenyl acetate GNFk-2
BRD-K00555438-001-06-7	2-Phenyl-quinoline-4-carboxylic acid [4-(thiazol-2-ylsulfamoyl)-phenyl]-amide MLS-0206672.0001
BRD-K73709114-001-03-0	2-(thiophen-2-yl)-4-(4-(p-tolylsulfonyl)piperazin-1-yl)quinazoline NCGC00182291-02
BRD-K53032901-001-01-2	2-(trifluoromethyl)-10H-phenothiazine
BRD-K15467014-001-05-2	3-(2,8-dinitro-10,11-dihydro-5H-dibenzo[b,f]azepin-5-yl)-N,N-dimethylpropan-1-amine oxalate KCR-18
BRD-A68890828-001-06-7	3-(2-aminoethyl)-5-methoxy-1,3-dimethylindolin-2-one BS-9
NGP-003-05_F03	3-[3,5-dibromo-4-hydroxybenzoyl]-2-ethylbenzofuran
BRD-K11717138-001-20-4	3-[3,5-DIBROMO-4-HYDROXYBENZOYL]-2-ETHYLBENZOFURAN
BRD-K71534238-001-06-8	3-(4-(3-phenoxybenzylamino)phenyl)propanoic acid CT-06
BRD-K14749055-001-01-3	(3,4-dihydroisoquinolin-2(1H)-yl)(4-(hydroxydiphenylmethyl)-1H-1,2,3-triazol-1-yl)methanone
BRD-K14609189-001-06-7	3-(5-{[3-(4-methoxy-2-methylphenyl)-1-phenyl-1H-pyrazol-4-yl]methylene}-4-oxo-2-thioxo-1,3-thiazolidin-3-yl)propanoic acid
BRD-K97181089-001-07-6	3,5-diamino-N-carbamimidoyl-6-chloropyrazine-2-carboxamide KAJ-25
BRD-K00203625-001-06-7	3,5-Dimethoxy-N-(1H-[1,2,4]triazol-3-yl)-benzamide MLS-0315839.0001
BRD-A45206415-001-05-5	3,5-dimethyl-4-[[(4-methylphenyl)sulfonyl](phenyl)methyl]isoxazole
BRD-A80536908-001-05-5	3-(5-oxopyrrolidin-2-yl)-N-((S)-1-phenylethyl)propanamide RA-5
BRD-K93623754-001-04-2	3,6-diphenyl-1,2,4-triazin-5-yl methyl ether
BRD-K64738596-001-06-0	3-chloro-N-[3-(4-morpholinyl)propyl]-6-nitro-1-benzothiophene-2-carboxamide KUC103472N-2
BRD-K36087356-001-04-2	3-chloro-N-{3-cyano-4-[(4-methoxyphenyl)sulfanyl]phenyl}benzenecarboxamide BRD-K36087356
BRD-K60571253-001-05-5	3-chloro-N-methyl-N-(4-(pyrrolidin-1-yl)but-2-ynyl)benzamide KAJ-20
BRD-K02216544-001-01-6	3-cyclohexyl-6-[4-(2,3-dichlorophenyl)piperazin-1-yl]pyrimidine-2,4(1H,3H)-dione
BRD-K77547509-001-01-7	3-cyclohexyl-6-{4-[3-(trifluoromethyl)phenyl]piperazin-1-yl}pyrimidine-2,4(1H,3H)-dione
BRD-K06436323-001-01-3	3-ethyl-6-{4-[3-(trifluoromethyl)phenyl]piperazin-1-yl}pyrimidine-2,4(1H,3H)-dione
BRD-K46285453-001-06-7	3-fluoro-N-1H-1,2,4-triazol-3-ylbenzamide MLS-0315821.0002
BRD-K54687541-001-01-8	3-isobutyl-6-{4-[3-(trifluoromethyl)phenyl]piperazin-1-yl}pyrimidine-2,4(1H,3H)-dione
BRD-A06641369-001-13-0	(3-isopropoxyphenyl){1-[(1-isopropyl-1H-pyrazol-4-yl)methyl]piperidin-3-yl}methanone
BRD-A12083771-001-12-1	(3-isopropoxyphenyl){1-[(5-methyl-1-propyl-1H-pyrazol-4-yl)methyl]piperidin-3-yl}methanone
BRD-K59273480-001-06-4	3-methyl-1-(5-oxohexyl)-7-propyl-1H-purine-2,6(3H,7H)-dione HOC-1
BRD-K39522184-001-07-6	3-methyl-4-nitro-N-4H-1,2,4-triazol-3-ylbenzamide MLS-0223293.0001
BRD-K56697208-001-08-4	3-Methyl-7-pentyl-8-phenethylsulfanyl-3,7-dihydro-purine-2,6-dione
BRD-K08640787-001-01-7	3-phenyl-6-{4-[3-(trifluoromethyl)phenyl]piperazin-1-yl}pyrimidine-2,4(1H,3H)-dione
NGP-003-05_D04	3-pyridinemethanol
BRD-K76079827-001-01-7	(4-([1,1'-biphenyl]-4-yl)-1H-1,2,3-triazol-1-yl)(pyrrolidin-1-yl)methanone
BRD-K89486464-003-05-4	4-(1,2,3,6-tetrahydropyridin-4-yl)benzene-1,2-diol hydrochloride WG-9
BRD-K62902879-001-05-4	4-(1-acetyl-1,2,3,6-tetrahydropyridin-4-yl)-2-methoxyphenyl acetate WG-5
BRD-K84203638-001-05-3	4-[(1-methyl-2-oxo-1,2-dihydroquinolin-4-yl)oxy]-N-(4-methylpyridin-2-yl)butanamide
BRD-K67742177-001-01-7	(4-(2,5-di(furan-2-yl)pyrazolo[1,5-a]pyrimidin-7-yl)piperazin-1-yl)(furan-3-yl)methanone KUC106884N
BRD-K83194053-001-07-7	4-(2-(6-chloroquinazolin-4-ylamino)ethyl)phenol CU-00000000029-2
BRD-K75304533-001-05-6	[4-(2-Methyl-5,6,7,8-tetrahydro-benzo[4,5]thieno[2,3-d]pyrimidin-4-yl)-piperazin-1-yl]-thiophen-2-yl-methanone MLS-0354783.0001
BRD-K57930080-004-05-1	4-(3,4-dimethoxyphenyl)pyridine hydrobromide WG-7
BRD-K44652183-001-06-7	4-(3-benzyl-1-methyl-6-oxo-2-thioxo-2,3,6,7-tetrahydro-1H-purin-8-yl)butanoic acid KAJ-10
BRD-K97926541-001-06-8	4-(4-(2-methoxyphenylamino)-6-(pyrrolidin-1-yl)-1,3,5-triazin-2-ylamino)butan-1-ol wh-gc-round5-38
BRD-K14711204-001-01-3	4-(4-hydroxy-2,6-dimethylheptan-4-yl)-N,N-diphenyl-1H-1,2,3-triazole-1-carboxamide
BRD-K45675241-004-06-1	4-(4-hydroxy-3-methoxyphenyl)-1-methylpyridinium bromide WG-8
BRD-K91818252-001-05-4	4-(5-(2-chlorophenyl)-1,2,4-oxadiazol-3-yl)benzoic acid WFM1.17D
BRD-K22831754-001-06-2	4-(5-(2-fluorophenyl)-1,2,4-oxadiazol-3-yl)benzoic acid WFM1.17A
BRD-K63157263-001-05-8	4-(5-(2-methoxyphenyl)-1,2,4-oxadiazol-3-yl)benzoic acid WFM1.19A
BRD-K49967178-001-05-3	4-(5-(2-(trifluoromethyl)phenyl)-1,2,4-oxadiazol-3-yl)benzoic acid WFM1.19D
BRD-K28112517-001-06-9	4-[5-(3,4-diethoxyphenyl)-1,2,4-oxadiazol-3-yl]pyridine
BRD-K35254025-001-04-0	4-(5-(3-chlorophenyl)-1,2,4-oxadiazol-3-yl)benzoic acid NCGC00168100-03
BRD-K18761689-001-05-9	4-(5-(3-fluorophenyl)-1,2,4-oxadiazol-3-yl)benzoic acid WFM1.17B
BRD-K53142391-001-06-5	4-(5-(3-methoxyphenyl)-1,2,4-oxadiazol-3-yl)benzoic acid WFM1.19B
BRD-K72883421-001-05-7	4-(5-(3-(trifluoromethyl)phenyl)-1,2,4-oxadiazol-3-yl)benzoic acid WFM1.19E
BRD-K57480017-001-05-1	4-(5-(4-fluorophenyl)-1,2,4-oxadiazol-3-yl)benzoic acid WFM1.17C
BRD-K92419424-001-05-3	4-(5-(4-methoxyphenyl)-1,2,4-oxadiazol-3-yl)benzoic acid WFM1.19C
BRD-A28422330-001-07-7	4-[5-(4-methoxyphenyl)-3-phenyl-4,5-dihydro-1H-pyrazol-1-yl]benzenesulfonamide
BRD-K44878494-001-06-2	4-(5-amino-3-methyl-4-(3-(trifluoromethyl)benzoyl)thiophen-2-yl)butanoic acid KAJ-13
BRD-A83255679-001-09-8	4-(6-Bromo-benzo[1,3]dioxol-5-yl)-3a,4,5,9b-tetrahydro-3H-cyclopenta[c]quinoline
BRD-K09299610-001-01-4	4-(6-methoxynaphthalen-2-yl)-N,N-diphenyl-1H-1,2,3-triazole-1-carboxamide
NGP 201-04_G04	4-(aminomethyl)benzenesulfonamide
BRD-K46681113-001-01-0	(4-benzylpiperidin-1-yl)(4-(hydroxydiphenylmethyl)-1H-1,2,3-triazol-1-yl)methanone
BRD-K09716788-001-01-3	4-chloro-2-(4-isopropylbenzamido)benzoic acid KUC105999N
BRD-A32449311-001-05-1	4-chloro-2-(4-((tetrahydrofuran-2-yl)methylamino)quinazolin-2-ylamino)phenol wh-GCJMC04
BRD-K28180706-001-01-8	4-chloro-N-{4-[2,2,2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]phenyl}benzamide
BRD-K76211160-001-05-2	4-Fluoro-N-pyridin-3-yl-benzamide
BRD-A84098870-001-05-6	4-hydroxy-3-(methylthio)-4,5,6,7-tetrahydrobenzo[c]thiophene-1-carbohydrazide MAY_4
BRD-K89209981-001-01-7	(4-(hydroxydiphenylmethyl)-1H-1,2,3-triazol-1-yl)(4-(hydroxydiphenylmethyl)piperidin-1-yl)methanone
BRD-K42629487-001-05-2	4-(Hydroxy-diphenyl-methyl)-piperidine-1-carbothioic acid (4-ethoxy-phenyl)-amide
BRD-K77014406-001-07-9	4-Isopropoxy-2-(3-methoxy-phenyl)-quinazoline BRD-K77014406
BRD-K58698715-001-11-0	4-Methoxy-2-(4-propoxy-phenyl)-quinazoline BRD-K58698715
BRD-K33743361-034-05-4	(4-Methoxy-benzyl)-naphthalen-1-ylmethyl-amine
BRD-K22006123-001-05-7	4-morpholino-N-phenyl-6-(pyrrolidin-1-yl)-1,3,5-triazin-2-amine hw-gc-act03
BRD-K65148867-001-01-4	4-(tert-butyl)-N-(5-chloro-2-(1H-tetrazol-5-yl)phenyl)benzamide KUC107303N
BRD-K72676786-001-05-4	5-((2-methyl-5-nitrophenylamino)methyl)-2-(methylthio)pyrimidin-4-amine 0033-022
BRD-K86456986-001-05-3	5,7-difluoro-6-methoxy-2,3,4,9-tetrahydro-1H-pyrido[3,4-b]indol-1-one KLK-46
BRD-K45308677-001-05-0	5-amino-1-(2-cyanoethyl)-3-(naphthalen-1-ylmethyl)-1H-pyrazole-4-carbonitrile CAL-NCGC-052
BRD-K67306351-001-05-0	5-amino-1-(2-hydroxyethyl)-3-(naphthalen-1-ylmethyl)-1H-pyrazole-4-carbonitrile CAL-NCGC-040
BRD-K11671649-001-05-6	5-amino-1-ethyl-3-(naphthalen-1-ylmethyl)-1H-pyrazole-4-carbonitrile CAL-NCGC-061
BRD-K62716919-001-05-0	5-amino-1-isopropyl-3-(naphthalen-1-ylmethyl)-1H-pyrazole-4-carbonitrile CAL-NCGC-042
BRD-K93875449-001-05-6	5-amino-1-methyl-3-(naphthalen-1-ylmethyl)-1H-pyrazole-4-carbonitrile CAL-NCGC-039
BRD-K30647638-001-05-6	5-amino-1-tert-butyl-3-(naphthalen-1-ylmethyl)-1H-pyrazole-4-carbonitrile CALI-091-1
BRD-K78481586-001-05-5	5-amino-3-(naphthalen-1-ylmethyl)-1H-pyrazole-4-carbonitrile CAL-NCGC-045
BRD-K92470030-001-05-2	5-amino-N-tert-butyl-4-(3-methoxyphenyl)-2-(methylthio)thieno[2,3-d]pyrimidine-6-carboxamide CT-03
BRD-K68863575-001-01-8	5-(benzenesulfonyl)-N-[4-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)phenyl]thiophene-2-sulfonamide
BRD-K96147838-001-01-5	5-bromo-2-(4-(tert-butyl)benzamido)-4-chlorobenzoic acid KUC107591N
BRD-K90912239-001-01-3	5-bromo-4-chloro-2-(4-methoxybenzamido)benzoic acid KUC107296N
BRD-K41240505-001-01-6	5-(furan-2-yl)-7-(4-(furan-3-ylmethyl)piperazin-1-yl)-2-(p-tolyl)pyrazolo[1,5-a]pyrimidine KUC106904N
NGP-003-05_D07	5-methoxytryptamine
NGP-003-06_C07	5-nonyloxytryptamine
